<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <%K>, <%D>, <ROC>, <ZeroLine>, <RSI>, <OverBot>, <OverSld>, <ACCUMULATION_DISTRIBUTION>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>, <WILLIAMS_R>, <HIGH_PRICE_ACCELERATION>, <DISPARITY_5>, <DISPARITY_10>
1/3/2000,16:00:00,1481.50,1496.00,1452.25,1466.75,20660,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/4/2000,16:00:00,1464.75,1465.75,1409.50,1411.50,22703,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/5/2000,16:00:00,1407.75,1427.25,1385.00,1413.00,26420,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/6/2000,16:00:00,1399.50,1426.25,1395.75,1404.75,23206,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/7/2000,16:00:00,1404.25,1461.50,1402.00,1459.75,22214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/10/2000,16:00:00,1459.75,1481.00,1455.25,1474.25,21040,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/11/2000,16:00:00,1473.00,1473.25,1447.00,1454.00,22515,1454.00,1454.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,100.89,0.00
1/12/2000,16:00:00,1452.00,1456.50,1438.75,1441.50,21771,1451.73,1453.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,-1.00,-0.20,-0.80,0.00,0.00,0.00,99.63,0.00
1/13/2000,16:00:00,1445.00,1466.75,1443.25,1459.00,20395,1453.05,1453.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.07,-0.37,-0.23,-0.14,0.00,0.00,0.00,100.09,0.00
1/14/2000,16:00:00,1459.75,1485.00,1459.25,1478.25,19683,1457.63,1454.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,1.66,0.14,1.51,0.00,0.00,0.00,101.15,0.00
1/18/2000,16:00:00,1478.50,1479.00,1462.00,1469.25,21128,1459.74,1455.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,2.51,0.62,1.89,0.00,0.00,0.00,100.61,0.00
1/19/2000,16:00:00,1463.75,1474.00,1450.25,1472.50,19333,1462.06,1455.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,3.41,1.18,2.24,0.00,0.00,0.00,100.57,0.00
1/20/2000,16:00:00,1481.50,1485.00,1448.00,1456.25,24678,1461.01,1455.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,2.78,1.50,1.28,0.00,34.64,0.00,99.26,99.95
1/21/2000,16:00:00,1452.50,1463.25,1449.25,1454.00,17922,1459.73,1455.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,2.08,1.61,0.46,0.00,67.03,0.00,99.18,99.46
1/24/2000,16:00:00,1458.00,1468.50,1403.25,1412.75,22592,1451.19,1454.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,-1.79,0.93,-2.72,0.00,88.38,0.00,97.23,96.95
1/25/2000,16:00:00,1412.50,1424.75,1397.50,1419.00,27286,1445.34,1452.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,-4.30,-0.11,-4.19,0.00,75.43,0.00,98.34,97.75
1/26/2000,16:00:00,1418.00,1422.75,1408.25,1416.00,20114,1440.00,1451.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,-6.46,-1.38,-5.08,0.00,78.86,0.00,98.91,97.80
1/27/2000,16:00:00,1414.25,1428.50,1388.00,1410.75,25423,1434.68,1449.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,-8.49,-2.80,-5.69,0.00,76.55,0.00,99.17,97.64
1/28/2000,16:00:00,1413.50,1420.00,1361.25,1367.00,27459,1422.38,1446.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,-13.48,-4.94,-8.54,0.00,95.35,0.00,97.29,95.22
1/31/2000,16:00:00,1370.00,1403.00,1357.00,1400.75,23539,1418.45,1444.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,-14.54,-6.86,-7.68,0.00,65.82,0.00,99.86,98.10
2/1/2000,16:00:00,1401.75,1421.75,1391.25,1416.75,21498,1418.14,1443.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,-13.93,-8.27,-5.66,0.00,53.32,0.00,101.03,99.59
2/2/2000,16:00:00,1418.00,1429.50,1410.00,1414.25,20232,1417.43,1442.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,-13.49,-9.32,-4.18,0.00,48.65,0.00,100.88,99.82
2/3/2000,16:00:00,1416.50,1438.25,1405.25,1436.00,27834,1420.81,1442.22,0.00,0.00,0.00,0.00,44.85,70.00,30.00,0.73,-11.26,-9.71,-1.56,0.00,29.15,0.00,102.06,101.50
2/4/2000,16:00:00,1438.00,1449.50,1426.50,1431.25,21872,1422.71,1441.79,0.00,0.00,0.00,0.00,43.85,70.00,30.00,0.59,-9.77,-9.72,-0.05,0.00,19.73,0.00,100.81,101.33
2/7/2000,16:00:00,1427.25,1433.25,1419.00,1427.00,20993,1423.49,1441.21,0.00,0.00,0.00,0.00,42.93,70.00,30.00,0.14,-8.82,-9.54,0.72,0.00,24.32,0.00,100.14,100.93
2/8/2000,16:00:00,1425.75,1449.50,1425.50,1445.75,19980,1427.53,1441.39,0.00,0.00,0.00,0.00,48.13,70.00,30.00,0.94,-6.48,-8.93,2.45,0.00,4.05,0.00,101.04,102.06
