"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/1998,17:00,118.36,118.36,118.36,118.36,0,0
03/02/1998,17:00,116.62,116.62,116.62,116.62,0,0
03/03/1998,17:00,117.53,117.53,117.53,117.53,0,0
03/04/1998,17:00,116.19,116.19,116.19,116.19,0,0
03/05/1998,17:00,117.13,117.13,117.13,117.13,0,0
03/06/1998,17:00,116.14,116.14,116.14,116.14,0,0
03/09/1998,17:00,115.05,115.05,115.05,115.05,0,0
03/10/1998,17:00,116.82,116.82,116.82,116.82,0,0
03/11/1998,17:00,117.69,117.69,117.69,117.69,0,0
03/12/1998,17:00,120.60,120.60,120.60,120.60,0,0
03/13/1998,17:00,119.95,119.95,119.95,119.95,0,0
03/16/1998,17:00,119.11,119.11,119.11,119.11,0,0
03/17/1998,17:00,119.48,119.48,119.48,119.48,0,0
03/18/1998,17:00,120.60,120.60,120.60,120.60,0,0
03/19/1998,17:00,122.01,122.01,122.01,122.01,0,0
03/20/1998,17:00,122.07,122.07,122.07,122.07,0,0
03/23/1998,17:00,122.29,122.29,122.29,122.29,0,0
03/24/1998,17:00,122.05,122.05,122.05,122.05,0,0
03/25/1998,17:00,120.62,120.62,120.62,120.62,0,0
03/26/1998,17:00,118.55,118.55,118.55,118.55,0,0
03/27/1998,17:00,118.31,118.31,118.31,118.31,0,0
03/30/1998,17:00,119.53,119.53,119.53,119.53,0,0
03/31/1998,17:00,119.00,119.00,119.00,119.00,0,0
04/01/1998,17:00,120.35,120.35,120.35,120.35,0,0
04/02/1998,17:00,119.17,119.17,119.17,119.17,0,0
04/03/1998,17:00,120.17,120.17,120.17,120.17,0,0
04/06/1998,17:00,116.87,116.87,116.87,116.87,0,0
04/07/1998,17:00,117.99,117.99,117.99,117.99,0,0
04/08/1998,17:00,119.16,119.16,119.16,119.16,0,0
04/09/1998,17:00,119.31,119.31,119.31,119.31,0,0
04/13/1998,17:00,118.83,118.83,118.83,118.83,0,0
04/14/1998,17:00,119.06,119.06,119.06,119.06,0,0
04/15/1998,17:00,119.80,119.80,119.80,119.80,0,0
04/16/1998,17:00,118.29,118.29,118.29,118.29,0,0
04/17/1998,17:00,120.13,120.13,120.13,120.13,0,0
04/20/1998,17:00,119.50,119.50,119.50,119.50,0,0
04/21/1998,17:00,118.78,118.78,118.78,118.78,0,0
04/22/1998,17:00,120.30,120.30,120.30,120.30,0,0
04/23/1998,17:00,118.74,118.74,118.74,118.74,0,0
04/24/1998,17:00,118.14,118.14,118.14,118.14,0,0
04/27/1998,17:00,120.66,120.66,120.66,120.66,0,0
04/28/1998,17:00,117.99,117.99,117.99,117.99,0,0
04/29/1998,17:00,117.53,117.53,117.53,117.53,0,0
04/30/1998,17:00,119.40,119.40,119.40,119.40,0,0
05/01/1998,17:00,121.88,121.88,121.88,121.88,0,0
05/04/1998,17:00,117.76,117.76,117.76,117.76,0,0
05/05/1998,17:00,117.55,117.55,117.55,117.55,0,0
05/06/1998,17:00,118.15,118.15,118.15,118.15,0,0
05/07/1998,17:00,116.76,116.76,116.76,116.76,0,0
05/08/1998,17:00,118.72,118.72,118.72,118.72,0,0
05/11/1998,17:00,120.19,120.19,120.19,120.19,0,0
05/12/1998,17:00,124.11,124.11,124.11,124.11,0,0
05/13/1998,17:00,125.30,125.30,125.30,125.30,0,0
05/14/1998,17:00,125.56,125.56,125.56,125.56,0,0
05/15/1998,17:00,123.79,123.79,123.79,123.79,0,0
05/18/1998,17:00,125.67,125.67,125.67,125.67,0,0
05/19/1998,17:00,124.78,124.78,124.78,124.78,0,0
05/20/1998,17:00,123.05,123.05,123.05,123.05,0,0
05/21/1998,17:00,122.36,122.36,122.36,122.36,0,0
05/22/1998,17:00,122.49,122.49,122.49,122.49,0,0
05/26/1998,17:00,118.55,118.55,118.55,118.55,0,0
05/27/1998,17:00,122.64,122.64,122.64,122.64,0,0
05/28/1998,17:00,120.20,120.20,120.20,120.20,0,0
05/29/1998,17:00,118.27,118.27,118.27,118.27,0,0
06/01/1998,17:00,119.31,119.31,119.31,119.31,0,0
06/02/1998,17:00,118.55,118.55,118.55,118.55,0,0
06/03/1998,17:00,116.78,116.78,116.78,116.78,0,0
06/04/1998,17:00,118.82,118.82,118.82,118.82,0,0
06/05/1998,17:00,119.75,119.75,119.75,119.75,0,0
06/08/1998,17:00,119.01,119.01,119.01,119.01,0,0
06/09/1998,17:00,120.34,120.34,120.34,120.34,0,0
06/10/1998,17:00,119.69,119.69,119.69,119.69,0,0
06/11/1998,17:00,119.67,119.67,119.67,119.67,0,0
06/12/1998,17:00,122.16,122.16,122.16,122.16,0,0
06/15/1998,17:00,119.89,119.89,119.89,119.89,0,0
06/16/1998,17:00,120.12,120.12,120.12,120.12,0,0
06/17/1998,17:00,122.97,122.97,122.97,122.97,0,0
06/18/1998,17:00,123.09,123.09,123.09,123.09,0,0
06/19/1998,17:00,122.72,122.72,122.72,122.72,0,0
06/22/1998,17:00,121.88,121.88,121.88,121.88,0,0
06/23/1998,17:00,123.30,123.30,123.30,123.30,0,0
06/24/1998,17:00,121.78,121.78,121.78,121.78,0,0
06/25/1998,17:00,123.01,123.01,123.01,123.01,0,0
06/26/1998,17:00,124.80,124.80,124.80,124.80,0,0
06/29/1998,17:00,123.22,123.22,123.22,123.22,0,0
07/01/1998,17:00,125.82,125.82,125.82,125.82,0,0
07/02/1998,17:00,129.97,129.97,129.97,129.97,0,0
07/06/1998,17:00,120.43,120.43,120.43,120.43,0,0
07/07/1998,17:00,122.55,122.55,122.55,122.55,0,0
07/08/1998,17:00,122.25,122.25,122.25,122.25,0,0
07/09/1998,17:00,124.00,124.00,124.00,124.00,0,0
07/10/1998,17:00,118.79,118.79,118.79,118.79,0,0
07/13/1998,17:00,118.19,118.19,118.19,118.19,0,0
07/14/1998,17:00,122.40,122.40,122.40,122.40,0,0
07/15/1998,17:00,122.88,122.88,122.88,122.88,0,0
07/16/1998,17:00,117.80,117.80,117.80,117.80,0,0
07/17/1998,17:00,118.40,118.40,118.40,118.40,0,0
07/20/1998,17:00,119.18,119.18,119.18,119.18,0,0
07/21/1998,17:00,122.91,122.91,122.91,122.91,0,0
07/22/1998,17:00,124.64,124.64,124.64,124.64,0,0
07/23/1998,17:00,120.91,120.91,120.91,120.91,0,0
07/24/1998,17:00,120.78,120.78,120.78,120.78,0,0
07/27/1998,17:00,120.67,120.67,120.67,120.67,0,0
07/28/1998,17:00,123.13,123.13,123.13,123.13,0,0
07/29/1998,17:00,120.55,120.55,120.55,120.55,0,0
07/30/1998,17:00,124.30,124.30,124.30,124.30,0,0
07/31/1998,17:00,121.21,121.21,121.21,121.21,0,0
08/03/1998,17:00,120.70,120.70,120.70,120.70,0,0
08/04/1998,17:00,118.72,118.72,118.72,118.72,0,0
08/05/1998,17:00,121.17,121.17,121.17,121.17,0,0
08/06/1998,17:00,121.62,121.62,121.62,121.62,0,0
08/07/1998,17:00,122.98,122.98,122.98,122.98,0,0
08/10/1998,17:00,121.21,121.21,121.21,121.21,0,0
08/11/1998,17:00,122.77,122.77,122.77,122.77,0,0
08/12/1998,17:00,121.23,121.23,121.23,121.23,0,0
08/13/1998,17:00,121.59,121.59,121.59,121.59,0,0
08/14/1998,17:00,122.79,122.79,122.79,122.79,0,0
08/17/1998,17:00,124.10,124.10,124.10,124.10,0,0
08/18/1998,17:00,128.23,128.23,128.23,128.23,0,0
08/19/1998,17:00,125.62,125.62,125.62,125.62,0,0
08/20/1998,17:00,124.92,124.92,124.92,124.92,0,0
08/21/1998,17:00,125.08,125.08,125.08,125.08,0,0
08/24/1998,17:00,126.71,126.71,126.71,126.71,0,0
08/25/1998,17:00,127.13,127.13,127.13,127.13,0,0
08/26/1998,17:00,125.07,125.07,125.07,125.07,0,0
08/27/1998,17:00,118.88,118.88,118.88,118.88,0,0
08/28/1998,17:00,118.25,118.25,118.25,118.25,0,0
08/31/1998,17:00,118.84,118.84,118.84,118.84,0,0
09/01/1998,17:00,124.33,124.33,124.33,124.33,0,0
09/02/1998,17:00,122.91,122.91,122.91,122.91,0,0
09/03/1998,17:00,122.73,122.73,122.73,122.73,0,0
09/04/1998,17:00,123.48,123.48,123.48,123.48,0,0
09/08/1998,17:00,127.20,127.20,127.20,127.20,0,0
09/09/1998,17:00,126.65,126.65,126.65,126.65,0,0
09/10/1998,17:00,122.06,122.06,122.06,122.06,0,0
09/11/1998,17:00,126.67,126.67,126.67,126.67,0,0
09/14/1998,17:00,136.29,136.29,136.29,136.29,0,0
09/15/1998,17:00,134.67,134.67,134.67,134.67,0,0
09/16/1998,17:00,134.61,134.61,134.61,134.61,0,0
09/17/1998,17:00,129.40,129.40,129.40,129.40,0,0
09/18/1998,17:00,128.30,128.30,128.30,128.30,0,0
09/21/1998,17:00,127.36,127.36,127.36,127.36,0,0
09/22/1998,17:00,118.29,118.29,118.29,118.29,0,0
09/23/1998,17:00,122.87,122.87,122.87,122.87,0,0
09/24/1998,17:00,119.80,119.80,119.80,119.80,0,0
09/25/1998,17:00,119.07,119.07,119.07,119.07,0,0
09/28/1998,17:00,119.32,119.32,119.32,119.32,0,0
09/29/1998,17:00,121.21,121.21,121.21,121.21,0,0
09/30/1998,17:00,117.57,117.57,117.57,117.57,0,0
10/01/1998,17:00,114.54,114.54,114.54,114.54,0,0
10/02/1998,17:00,115.15,115.15,115.15,115.15,0,0
10/05/1998,17:00,113.73,113.73,113.73,113.73,0,0
10/06/1998,17:00,113.08,113.08,113.08,113.08,0,0
10/07/1998,17:00,118.83,118.83,118.83,118.83,0,0
10/08/1998,17:00,118.00,118.00,118.00,118.00,0,0
10/09/1998,17:00,119.28,119.28,119.28,119.28,0,0
10/12/1998,17:00,130.47,130.47,130.47,130.47,0,0
10/13/1998,17:00,130.52,130.52,130.52,130.52,0,0
10/14/1998,17:00,133.27,133.27,133.27,133.27,0,0
10/15/1998,17:00,136.01,136.01,136.01,136.01,0,0
10/16/1998,17:00,146.22,146.22,146.22,146.22,0,0
10/19/1998,17:00,120.47,120.47,120.47,120.47,0,0
10/20/1998,17:00,120.46,120.46,120.46,120.46,0,0
10/21/1998,17:00,122.12,122.12,122.12,122.12,0,0
10/22/1998,17:00,123.47,123.47,123.47,123.47,0,0
10/23/1998,17:00,122.48,122.48,122.48,122.48,0,0
10/26/1998,17:00,124.87,124.87,124.87,124.87,0,0
10/27/1998,17:00,124.29,124.29,124.29,124.29,0,0
10/28/1998,17:00,125.33,125.33,125.33,125.33,0,0
10/29/1998,17:00,130.29,130.29,130.29,130.29,0,0
10/30/1998,17:00,129.98,129.98,129.98,129.98,0,0
11/02/1998,17:00,136.81,136.81,136.81,136.81,0,0
11/03/1998,17:00,126.92,126.92,126.92,126.92,0,0
11/04/1998,17:00,128.50,128.50,128.50,128.50,0,0
11/05/1998,17:00,126.83,126.83,126.83,126.83,0,0
11/06/1998,17:00,129.39,129.39,129.39,129.39,0,0
11/09/1998,17:00,126.03,126.03,126.03,126.03,0,0
11/10/1998,17:00,122.96,122.96,122.96,122.96,0,0
11/11/1998,17:00,124.09,124.09,124.09,124.09,0,0
11/12/1998,17:00,122.43,122.43,122.43,122.43,0,0
11/13/1998,17:00,123.86,123.86,123.86,123.86,0,0
11/16/1998,17:00,126.20,126.20,126.20,126.20,0,0
11/17/1998,17:00,127.36,127.36,127.36,127.36,0,0
11/18/1998,17:00,125.03,125.03,125.03,125.03,0,0
11/19/1998,17:00,135.15,135.15,135.15,135.15,0,0
11/20/1998,17:00,131.84,131.84,131.84,131.84,0,0
11/23/1998,17:00,128.39,128.39,128.39,128.39,0,0
11/24/1998,17:00,121.38,121.38,121.38,121.38,0,0
11/25/1998,17:00,129.39,129.39,129.39,129.39,0,0
11/27/1998,17:00,122.43,122.43,122.43,122.43,0,0
11/30/1998,17:00,121.52,121.52,121.52,121.52,0,0
12/01/1998,17:00,120.73,120.73,120.73,120.73,0,0
12/02/1998,17:00,122.30,122.30,122.30,122.30,0,0
12/03/1998,17:00,119.29,119.29,119.29,119.29,0,0
12/04/1998,17:00,120.79,120.79,120.79,120.79,0,0
12/07/1998,17:00,120.58,120.58,120.58,120.58,0,0
12/08/1998,17:00,120.16,120.16,120.16,120.16,0,0
12/09/1998,17:00,121.68,121.68,121.68,121.68,0,0
12/10/1998,17:00,120.30,120.30,120.30,120.30,0,0
12/11/1998,17:00,120.49,120.49,120.49,120.49,0,0
12/14/1998,17:00,118.08,118.08,118.08,118.08,0,0
12/15/1998,17:00,120.67,120.67,120.67,120.67,0,0
12/16/1998,17:00,119.38,119.38,119.38,119.38,0,0
12/17/1998,17:00,121.00,121.00,121.00,121.00,0,0
12/18/1998,17:00,123.33,123.33,123.33,123.33,0,0
12/21/1998,17:00,127.73,127.73,127.73,127.73,0,0
12/22/1998,17:00,128.70,128.70,128.70,128.70,0,0
12/23/1998,17:00,123.93,123.93,123.93,123.93,0,0
12/24/1998,17:00,120.65,120.65,120.65,120.65,0,0
12/28/1998,17:00,125.02,125.02,125.02,125.02,0,0
12/29/1998,17:00,121.90,121.90,121.90,121.90,0,0
12/30/1998,17:00,119.78,119.78,119.78,119.78,0,0
12/31/1998,17:00,124.46,124.46,124.46,124.46,0,0
01/04/1999,17:00,118.28,118.28,118.28,118.28,0,0
01/05/1999,17:00,118.93,118.93,118.93,118.93,0,0
01/06/1999,17:00,116.55,116.55,116.55,116.55,0,0
01/07/1999,17:00,119.22,119.22,119.22,119.22,0,0
01/08/1999,17:00,121.02,121.02,121.02,121.02,0,0
01/11/1999,17:00,120.21,120.21,120.21,120.21,0,0
01/12/1999,17:00,119.50,119.50,119.50,119.50,0,0
01/13/1999,17:00,117.61,117.61,117.61,117.61,0,0
01/14/1999,17:00,115.83,115.83,115.83,115.83,0,0
01/15/1999,17:00,120.43,120.43,120.43,120.43,0,0
01/19/1999,17:00,119.22,119.22,119.22,119.22,0,0
01/20/1999,17:00,120.19,120.19,120.19,120.19,0,0
01/21/1999,17:00,117.62,117.62,117.62,117.62,0,0
01/22/1999,17:00,119.32,119.32,119.32,119.32,0,0
01/25/1999,17:00,118.62,118.62,118.62,118.62,0,0
01/26/1999,17:00,120.02,120.02,120.02,120.02,0,0
01/27/1999,17:00,116.25,116.25,116.25,116.25,0,0
01/28/1999,17:00,118.46,118.46,118.46,118.46,0,0
01/29/1999,17:00,119.23,119.23,119.23,119.23,0,0
02/01/1999,17:00,118.75,118.75,118.75,118.75,0,0
02/02/1999,17:00,117.37,117.37,117.37,117.37,0,0
02/03/1999,17:00,116.10,116.10,116.10,116.10,0,0
02/04/1999,17:00,115.25,115.25,115.25,115.25,0,0
02/05/1999,17:00,115.51,115.51,115.51,115.51,0,0
02/08/1999,17:00,114.60,114.60,114.60,114.60,0,0
02/09/1999,17:00,113.35,113.35,113.35,113.35,0,0
02/10/1999,17:00,114.91,114.91,114.91,114.91,0,0
02/11/1999,17:00,117.63,117.63,117.63,117.63,0,0
02/12/1999,17:00,116.29,116.29,116.29,116.29,0,0
02/16/1999,17:00,115.45,115.45,115.45,115.45,0,0
02/17/1999,17:00,114.55,114.55,114.55,114.55,0,0
02/18/1999,17:00,115.15,115.15,115.15,115.15,0,0
02/19/1999,17:00,115.40,115.40,115.40,115.40,0,0
02/22/1999,17:00,117.06,117.06,117.06,117.06,0,0
02/23/1999,17:00,117.11,117.11,117.11,117.11,0,0
02/24/1999,17:00,116.15,116.15,116.15,116.15,0,0
